date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,stake,potential_profit_if_win,status,win,pnl,settled_at,game_key
2025-12-01,LAL,PHO,0.8,0.7631578947368421,0.75,1.51,13.25,100.0,51.0,PENDING,,,,2025-12-01_LAL_PHO
2025-12-02,BOS,NYK,0.6,0.7272727272727273,0.7272727272727273,1.89,37.45454545454545,100.0,89.0,SETTLED,1.0,88.99999999999999,2025-12-02,2025-12-02_BOS_NYK
2025-12-02,TOR,POR,0.78,0.7058823529411765,0.7058823529411765,1.46,3.0588235294117694,100.0,46.0,SETTLED,1.0,46.0,2025-12-02,2025-12-02_TOR_POR
2025-12-03,ATL,LAC,0.71,0.6585365853658537,0.6585365853658537,1.62,6.682926829268304,100.0,62.0,SETTLED,0.0,-100.0,2025-12-03,2025-12-03_ATL_LAC
2025-12-04,TOR,LAL,0.89,0.7058823529411765,0.7058823529411765,1.7,20.000000000000007,100.0,70.0,SETTLED,0.0,-100.0,2025-12-04,2025-12-04_TOR_LAL
2025-12-05,CLE,SAS,0.58,0.7307692307692307,0.7307692307692307,1.6,16.923076923076923,100.0,60.0,SETTLED,1.0,60.00000000000001,2025-12-05,2025-12-05_CLE_SAS
2025-12-05,ORL,MIA,0.78,0.7307692307692307,0.7307692307692307,1.46,6.692307692307681,100.0,46.0,SETTLED,1.0,46.0,2025-12-05,2025-12-05_ORL_MIA
2025-12-07,NYK,ORL,0.92,0.8571428571428571,0.75,1.62,21.500000000000007,100.0,62.0,SETTLED,1.0,62.000000000000014,2025-12-07,2025-12-07_NYK_ORL
2025-12-09,ORL,MIA,0.8,0.75,0.75,1.89,41.75,100.0,89.0,SETTLED,1.0,88.99999999999999,2025-12-09,2025-12-09_ORL_MIA
2025-12-13,ORL,NYK,0.82,0.5,0.5,2.64,32.00000000000001,100.0,164.0,SETTLED,0.0,-100.0,2025-12-13,2025-12-13_ORL_NYK
2025-12-15,BOS,DET,0.7,0.6730769230769231,0.6730769230769231,1.82,22.500000000000007,100.0,82.0,SETTLED,0.0,-100.0,2025-12-15,2025-12-15_BOS_DET
2025-12-19,NYK,PHI,0.91,0.7222222222222222,0.7222222222222222,1.54,11.22222222222222,100.0,54.0,SETTLED,0.0,-100.0,2025-12-19,2025-12-19_NYK_PHI
2025-12-19,NYK,PHI,0.91,0.7222222222222222,0.7222222222222222,1.54,11.22222222222222,100.0,54.0,SETTLED,0.0,-100.0,2025-12-19,2025-12-19_NYK_PHI
2025-12-20,PHI,DAL,0.5,0.6923076923076923,0.6923076923076923,1.65,14.23076923076922,100.0,65.0,SETTLED,1.0,64.99999999999999,2025-12-20,2025-12-20_PHI_DAL
2025-12-25,LAL,HOU,0.62,0.4495412844036697,0.5,2.1,12.00000000000001,100.0,124.0,SETTLED,0.0,-100.0,2025-12-25,2025-12-25_LAL_HOU
2025-12-27,HOU,CLE,0.86,0.6883116883116883,0.6883116883116883,1.57,8.064935064935069,100.0,57.0,SETTLED,1.0,57.00000000000001,2025-12-27,2025-12-27_HOU_CLE
2025-12-27,HOU,CLE,0.86,0.6883116883116883,0.6883116883116883,1.57,8.064935064935069,100.0,57.0,SETTLED,1.0,57.00000000000001,2025-12-27,2025-12-27_HOU_CLE
2025-12-27,ORL,DEN,0.7,0.4513274336283185,0.4513274336283185,2.6,17.345132743362836,100.0,160.0,SETTLED,1.0,160.0,2025-12-27,2025-12-27_ORL_DEN
2025-12-27,ORL,DEN,0.7,0.4513274336283185,0.4513274336283185,2.6,17.345132743362836,100.0,160.0,SETTLED,1.0,160.0,2025-12-27,2025-12-27_ORL_DEN
2025-12-28,TOR,GSW,0.55,0.4566929133858268,0.4566929133858268,2.54,16.000000000000014,100.0,154.0,SETTLED,1.0,154.0,2025-12-28,2025-12-28_TOR_GSW
2025-12-28,TOR,GSW,0.55,0.4566929133858268,0.4566929133858268,2.54,16.000000000000014,100.0,154.0,SETTLED,1.0,154.0,2025-12-28,2025-12-28_TOR_GSW
2025-12-29,CHO,MIL,0.5,0.4609375,0.4609375,2.36,8.781249999999996,100.0,136.0,SETTLED,0.0,-100.0,2025-12-29,2025-12-29_CHO_MIL
2025-12-29,CHO,MIL,0.5,0.4609375,0.4609375,2.36,8.781249999999996,100.0,136.0,SETTLED,0.0,-100.0,2025-12-29,2025-12-29_CHO_MIL
2025-12-29,MIA,DEN,0.6,0.4609375,0.4609375,2.14,-1.359374999999996,100.0,114.0,SETTLED,1.0,114.0,2025-12-29,2025-12-29_MIA_DEN
2025-12-29,MIA,DEN,0.6,0.4609375,0.4609375,2.14,-1.359374999999996,100.0,114.0,SETTLED,1.0,114.0,2025-12-29,2025-12-29_MIA_DEN
2025-12-29,SAS,CLE,0.83,0.7647058823529411,0.7647058823529411,1.74,33.058823529411754,100.0,74.0,SETTLED,0.0,-100.0,2025-12-29,2025-12-29_SAS_CLE
2025-12-29,SAS,CLE,0.83,0.7647058823529411,0.7647058823529411,1.74,33.058823529411754,100.0,74.0,SETTLED,0.0,-100.0,2025-12-29,2025-12-29_SAS_CLE
2025-12-30,LAL,DET,0.6,0.6599999999999998,0.6599999999999998,2.24,47.839999999999975,100.0,124.0,SETTLED,0.0,-100.0,2025-12-30,2025-12-30_LAL_DET
2025-12-30,LAL,DET,0.6,0.6599999999999998,0.6599999999999998,2.24,47.839999999999975,100.0,124.0,SETTLED,0.0,-100.0,2025-12-30,2025-12-30_LAL_DET
2025-12-30,MEM,PHI,0.57,0.691358024691358,0.691358024691358,1.95,34.81481481481481,100.0,95.0,SETTLED,0.0,-100.0,2025-12-30,2025-12-30_MEM_PHI
2025-12-30,MEM,PHI,0.57,0.691358024691358,0.691358024691358,1.95,34.81481481481481,100.0,95.0,SETTLED,0.0,-100.0,2025-12-30,2025-12-30_MEM_PHI
2025-12-31,CHO,GSW,0.5,0.3877551020408163,0.45,3.0,35.0,100.0,200.0,SETTLED,0.0,-100.0,2025-12-31,2025-12-31_CHO_GSW
2025-12-31,SAS,NYK,0.67,0.6470588235294118,0.6470588235294118,1.82,17.76470588235295,100.0,82.0,SETTLED,1.0,82.0,2025-12-31,2025-12-31_SAS_NYK
2025-12-31,SAS,NYK,0.67,0.6470588235294118,0.6470588235294118,1.82,17.76470588235295,100.0,82.0,SETTLED,1.0,82.0,2025-12-31,2025-12-31_SAS_NYK
2026-01-01,DAL,PHI,0.86,0.4632352941176469,0.4632352941176469,2.14,-0.8676470588235397,100.0,114.0,SETTLED,0.0,-100.0,2026-01-01,2026-01-01_DAL_PHI
2026-01-03,MIA,MIN,0.6,0.6,0.6,2.24,34.400000000000006,100.0,124.0,SETTLED,0.0,-100.0,2026-01-03,2026-01-03_MIA_MIN
2026-01-03,MIA,MIN,0.6,0.6,0.6,2.24,34.400000000000006,100.0,124.0,SETTLED,0.0,-100.0,2026-01-03,2026-01-03_MIA_MIN
