home_team,away_team,game_date
BOS,TOR,2026-04-05
BRK,WAS,2026-04-05
CHI,PHX,2026-04-05
MIL,MEM,2026-04-05
CLE,IND,2026-04-05
MIN,CHO,2026-04-05
NOP,ORL,2026-04-05
OKC,UTA,2026-04-05
DAL,LAL,2026-04-05
SAC,LAC,2026-04-05
GSW,HOU,2026-04-05
