home_team,away_team,game_date
CHO,HOU,2026-02-19
CLE,BRK,2026-02-19
PHI,ATL,2026-02-19
WAS,IND,2026-02-19
NYK,DET,2026-02-19
CHI,TOR,2026-02-19
SAS,PHX,2026-02-19
GSW,BOS,2026-02-19
SAC,ORL,2026-02-19
LAC,DEN,2026-02-19
