home_team,away_team,game_date
CHO,CLE,2026-02-20
MEM,UTA,2026-02-20
WAS,IND,2026-02-20
ATL,MIA,2026-02-20
MIN,DAL,2026-02-20
NOP,MIL,2026-02-20
OKC,BRK,2026-02-20
LAL,LAC,2026-02-20
POR,DEN,2026-02-20
