home_team,away_team,game_date
CHO,PHX,2026-04-02
DET,MIN,2026-04-02
OKC,LAL,2026-04-02
GSW,CLE,2026-04-02
POR,NOP,2026-04-02
LAC,SAS,2026-04-02
