home_team,away_team,game_date
CHO,DAL,2026-03-03
CLE,DET,2026-03-03
ORL,WAS,2026-03-03
MIA,BRK,2026-03-03
TOR,NYK,2026-03-03
CHI,OKC,2026-03-03
MIN,MEM,2026-03-03
PHI,SAS,2026-03-03
LAL,NOP,2026-03-03
SAC,PHX,2026-03-03
