home_team,away_team,game_date
CHO,CLE,2026-01-21
BOS,IND,2026-01-21
NYK,BRK,2026-01-21
MEM,ATL,2026-01-21
NOP,DET,2026-01-21
MIL,OKC,2026-01-21
SAC,TOR,2026-01-21
