home_team,away_team,game_date
CLE,IND,2025-11-21
BOS,BRK,2025-11-21
TOR,WAS,2025-11-21
CHI,MIA,2025-11-21
DAL,NOP,2025-11-21
PHX,MIN,2025-11-21
HOU,DEN,2025-11-21
GSW,POR,2025-11-21
UTA,OKC,2025-11-21
