home_team,away_team,game_date
CLE,UTA,2026-01-12
IND,BOS,2026-01-12
TOR,PHI,2026-01-12
DAL,BRK,2026-01-12
SAC,LAL,2026-01-12
LAC,CHO,2026-01-12
