home_team,away_team,game_date
CHO,MIA,2026-03-17
ORL,OKC,2026-03-17
WAS,DET,2026-03-17
NYK,IND,2026-03-17
MIL,CLE,2026-03-17
MIN,PHX,2026-03-17
DEN,PHI,2026-03-17
SAC,SAS,2026-03-17
