home_team,away_team,game_date
ORL,MEM,2026-01-15
DET,PHX,2026-01-15
HOU,OKC,2026-01-15
MIA,BOS,2026-01-15
SAS,MIL,2026-01-15
DAL,UTA,2026-01-15
GSW,NYK,2026-01-15
POR,ATL,2026-01-15
LAL,CHO,2026-01-15
