home_team,away_team,game_date
DAL,CLE,2026-03-13
DET,MEM,2026-03-13
IND,NYK,2026-03-13
TOR,PHX,2026-03-13
HOU,NOP,2026-03-13
GSW,MIN,2026-03-13
POR,UTA,2026-03-13
LAC,CHI,2026-03-13
