home_team,away_team,game_date
BOS,MIL,2026-02-01
DET,BRK,2026-02-01
MIA,CHI,2026-02-01
TOR,UTA,2026-02-01
WAS,SAC,2026-02-01
NYK,LAL,2026-02-01
SAS,ORL,2026-02-01
PHX,LAC,2026-02-01
POR,CLE,2026-02-01
DEN,OKC,2026-02-01
