home_team,away_team,game_date
CLE,HOU,2025-11-19
IND,CHO,2025-11-19
PHI,TOR,2025-11-19
MIA,GSW,2025-11-19
MIN,WAS,2025-11-19
NOP,DEN,2025-11-19
OKC,SAC,2025-11-19
DAL,NYK,2025-11-19
POR,CHI,2025-11-19
