home_team,away_team,game_date
CLE,ATL,2026-04-08
DET,MIL,2026-04-08
ORL,MIN,2026-04-08
DEN,MEM,2026-04-08
SAS,POR,2026-04-08
PHX,DAL,2026-04-08
LAC,OKC,2026-04-08
