home_team,away_team,game_date
CHO,GSW,2025-12-31
ATL,MIN,2025-12-31
IND,ORL,2025-12-31
CLE,PHX,2025-12-31
CHI,NOP,2025-12-31
SAS,NYK,2025-12-31
TOR,DEN,2025-12-31
MIL,WAS,2025-12-31
OKC,POR,2025-12-31
