home_team,away_team,home_team_prob,odds_1,odds_2,result,date,accuracy,prob_iso,prob_iso_insample,prob_iso_oos_time,prob_live_oos_proxy,prob_live_safe_pre_clip,prob_base,prob_live_safe,prob_used,result_raw,game_date,pred_home_win_proba,closing_home_odds,closing_away_odds,home_team_won,home_win_rate,iso_proba_home_win,live_oos_proxy_ready,live_oos_proxy_train_rows,live_oos_proxy_bin_n,live_oos_proxy_bin_winrate,market_implied_p_raw,market_implied_p_devig,model_market_gap,model_market_gap_flag,live_underdog_upscale_guard_triggered,prob_blended,live_shrink_triggered,blocked_by,implied_prob_1
BRK,NYK,0.2330876187085369,11.0,1.06,NYK,2026-03-20,1.0,0.0,0.0,0.0,0.0,0.35,0.2330876187085369,0.2330876187085369,0.35,NYK,2026-03-20,0.2330876187085369,11.0,1.06,0.0,0.0,0.0,False,6,0,,0.09090909090909091,0.087893864013267,0.262106135986733,True,False,0.09779275590831113,True,PASS,0.09090909090909091
DET,GSW,0.7498432613191387,1.44,2.85,DET,2026-03-20,1.0,1.0,1.0,1.0,1.0,0.7498432613191387,0.7498432613191387,0.7498432613191387,0.6646444857852392,DET,2026-03-20,0.7498432613191387,1.44,2.85,1.0,1.0,1.0,False,6,0,,0.6944444444444444,0.6643356643356644,0.08550759698347432,False,False,0.6936993950414578,True,PASS,0.6944444444444444
HOU,ATL,0.3971501988265407,1.62,2.36,HOU,2026-03-20,0.0,0.5,0.5,0.5,0.5,0.3971501988265407,0.3971501988265407,0.3971501988265407,0.5760280776945769,HOU,2026-03-20,0.3971501988265407,1.62,2.36,1.0,1.0,0.5,False,6,0,,0.6172839506172839,0.5929648241206029,-0.19581462529406224,False,False,0.5760280776945769,False,PASS,0.6172839506172839
MEM,BOS,0.3156747787811731,8.0,1.09,BOS,2026-03-20,1.0,0.0,0.0,0.0,0.0,0.35,0.3156747787811731,0.3156747787811731,0.35,BOS,2026-03-20,0.3156747787811731,8.0,1.09,0.0,0.0,0.0,False,6,0,,0.125,0.11991199119911994,0.23008800880088004,True,False,0.1328783960808375,True,PASS,0.125
MIN,POR,0.4448752729622794,1.74,2.14,POR,2026-03-20,1.0,0.5,0.5,0.5,0.5,0.4448752729622794,0.4448752729622794,0.4448752729622794,0.5234297548976848,POR,2026-03-20,0.4448752729622794,1.74,2.14,0.0,0.0,0.5,False,6,0,,0.5747126436781609,0.5515463917525772,-0.10667111879029784,False,False,0.5234297548976848,False,PASS,0.5747126436781609
DEN,TOR,0.4506891662857747,1.36,3.25,DEN,2026-03-20,0.0,1.0,1.0,1.0,1.0,0.4506891662857747,0.4506891662857747,0.4506891662857747,0.6652405894723433,DEN,2026-03-20,0.4506891662857747,1.36,3.25,1.0,1.0,1.0,False,6,0,,0.7352941176470588,0.7049891540130152,-0.2542999877272405,False,False,0.6944006934968745,True,PASS,0.7352941176470588
