date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,win,pnl,stake
2026-01-29,ATL,HOU,0.5,0.5111111111111111,0.5111111111111111,2.36,20.62222222222221,0,-100.0,100.0
2026-01-29,MIN,OKC,0.5,0.6159420289855072,0.6159420289855072,2.95,81.70289855072464,1,195.00000000000003,100.0
2026-01-30,DEN,LAC,0.5,0.5111111111111111,0.5111111111111111,2.8,43.111111111111086,1,179.99999999999997,100.0
2026-01-31,CHO,SAS,0.67,0.6931818181818183,0.6931818181818183,2.4,66.36363636363639,1,140.0,100.0
2026-02-01,POR,CLE,0.55,0.5581395348837209,0.5581395348837209,2.3,28.372093023255808,0,-100.0,100.0
2026-02-04,MIL,NOP,0.5,0.4659090909090909,0.4659090909090909,2.6,21.13636363636363,1,160.0,100.0
2026-02-09,POR,PHI,0.55,0.4659090909090909,0.4659090909090909,2.3,7.159090909090892,1,129.99999999999997,100.0
2026-02-20,ATL,MIA,0.5,0.4659090909090909,0.4659090909090909,2.4,11.818181818181806,0,-100.0,100.0
2026-02-20,CHO,CLE,0.67,0.5769230769230769,0.5769230769230769,2.85,64.42307692307692,0,-100.0,100.0
2026-02-21,NOP,PHI,0.56,0.6159420289855072,0.6159420289855072,2.36,45.3623188405797,1,136.0,100.0
2026-02-22,GSW,DEN,0.54,0.4659090909090909,0.4659090909090909,3.0,39.77272727272726,1,200.0,100.0
2026-02-22,MIL,TOR,0.5,0.6159420289855072,0.6159420289855072,2.3,41.66666666666665,0,-100.0,100.0
2026-02-22,OKC,CLE,0.6,0.6931818181818183,0.6931818181818183,2.54,76.06818181818187,1,154.0,100.0
2026-02-26,LAC,MIN,0.5,0.5581395348837209,0.5581395348837209,2.8,56.27906976744185,0,-100.0,100.0
2026-02-28,GSW,LAL,0.54,0.47959183673469385,0.47959183673469385,2.45,17.500000000000004,0,-100.0,100.0
