,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
GSW,17,5,5,1.0
OKC,16,7,7,1.0
DET,15,9,8,0.89
NYK,14,9,8,0.89
MIA,15,8,7,0.88
DEN,14,7,6,0.86
CHI,14,6,5,0.83
HOU,13,6,5,0.83
SAS,14,9,7,0.78
PHO,15,8,6,0.75
CLE,16,9,6,0.67
LAL,15,6,4,0.67
MIN,15,8,5,0.62
MIL,15,8,5,0.62
ORL,15,8,5,0.62
PHI,14,8,5,0.62
TOR,15,5,3,0.6
BOS,15,7,4,0.57
UTA,14,7,4,0.57
CHO,15,7,3,0.43
POR,15,7,3,0.43
LAC,14,8,3,0.38
MEM,15,8,3,0.38
ATL,15,6,2,0.33
IND,15,7,2,0.29
SAC,15,7,2,0.29
DAL,16,11,3,0.27
NOP,15,8,1,0.12
BRK,14,7,0,0.0
WAS,14,6,0,0.0
