home_team,away_team,home_team_prob,odds 1,odds 2,result,date
DEN,HOU,0.6172318965556941,1.91,1.91,0,2025-12-20
NOP,IND,0.5032908415390073,1.77,2.1,0,2025-12-20
PHI,DAL,0.6573861316348545,1.68,2.24,0,2025-12-20
TOR,BOS,0.41930899088981133,1.83,2.0,0,2025-12-20
DET,CHO,0.5992051912114651,1.19,4.9,0,2025-12-20
MEM,WAS,0.727652728712827,1.13,6.25,0,2025-12-20
GSW,PHX,,,,0,2025-12-20
UTA,ORL,0.5630205883963978,3.5,1.32,0,2025-12-20
SAC,POR,0.3096674970302971,2.5,1.56,0,2025-12-20
LAC,LAL,0.48912612662988253,2.0,1.83,0,2025-12-20
