home_team,away_team,home_team_prob,odds 1,odds 2,result,date
BOS,TOR,0.24747827319636195,1.29,3.7,0,2026-01-09
ORL,PHI,0.6188785510615936,2.2,1.7,0,2026-01-09
WAS,NOP,0.5265807968523504,2.1,1.77,0,2026-01-09
BRK,LAC,0.4829848686363643,2.3,1.65,0,2026-01-09
MEM,OKC,0.1902136358683425,2.54,1.54,0,2026-01-09
DEN,ATL,0.5910895662284186,1.8,2.05,0,2026-01-09
PHX,NYK,,,,0,2026-01-09
GSW,SAC,0.7605670530864211,1.14,6.0,0,2026-01-09
POR,HOU,0.6992863367136287,3.1,1.39,0,2026-01-09
LAL,MIL,0.41694298938461755,1.62,2.36,0,2026-01-09
