team,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
PHI,2,1,1,1.0000
DEN,2,1,1,1.0000
SAC,2,1,1,1.0000
UTA,2,1,1,1.0000
PHO,3,1,1,1.0000
GSW,3,1,1,1.0000
NYK,2,2,2,1.0000
LAC,2,1,1,1.0000
OKC,3,1,1,1.0000
CHO,2,1,1,1.0000
CHI,2,1,1,1.0000
MIL,2,1,1,1.0000
MEM,3,3,2,0.6700
POR,2,2,1,0.5000
LAL,2,2,1,0.5000
ORL,3,3,1,0.3300
BRK,2,1,0,0.0000
HOU,2,1,0,0.0000
ATL,3,2,0,0.0000
TOR,2,1,0,0.0000
NOP,2,1,0,0.0000
DAL,2,2,0,0.0000
IND,2,1,0,0.0000
BOS,2,1,0,0.0000
