,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DET,20,9,8,0.89
NYK,20,9,8,0.89
HOU,20,7,6,0.86
OKC,20,10,8,0.8
BOS,20,10,8,0.8
PHO,17,9,7,0.78
DAL,20,9,7,0.78
MIN,20,13,10,0.77
LAL,20,8,6,0.75
ORL,20,11,8,0.73
SAS,20,9,6,0.67
MIA,20,10,6,0.6
MEM,20,7,4,0.57
GSW,20,9,5,0.56
CHO,20,9,5,0.56
TOR,20,11,6,0.55
CLE,20,13,7,0.54
PHI,20,13,6,0.46
DEN,20,9,4,0.44
BRK,20,10,4,0.4
MIL,20,10,4,0.4
UTA,20,13,5,0.38
NOP,20,14,5,0.36
IND,20,12,4,0.33
SAC,20,9,3,0.33
CHI,20,9,3,0.33
WAS,20,9,3,0.33
LAC,20,7,2,0.29
ATL,20,11,3,0.27
POR,20,9,2,0.22
