,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,20,8,7,0.88
PHO,20,7,6,0.86
BOS,20,10,8,0.8
CLE,20,7,5,0.71
NYK,20,10,7,0.7
DET,20,13,9,0.69
CHO,20,9,6,0.67
HOU,20,11,7,0.64
NOP,20,8,5,0.62
POR,20,10,6,0.6
LAL,20,10,6,0.6
PHI,20,10,6,0.6
LAC,20,9,5,0.56
OKC,20,9,5,0.56
ATL,20,11,6,0.55
MIL,20,10,5,0.5
ORL,20,12,6,0.5
MIN,20,10,5,0.5
GSW,20,13,6,0.46
DEN,20,11,5,0.45
MIA,20,9,4,0.44
CHI,20,11,4,0.36
TOR,20,11,4,0.36
MEM,20,9,3,0.33
WAS,20,12,4,0.33
BRK,20,9,3,0.33
DAL,20,13,4,0.31
IND,20,10,3,0.3
UTA,20,11,2,0.18
SAC,20,7,1,0.14
