home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
BOS,TOR,0.6613277757482113,1.22,4.5,0,2026-04-05,,
BRK,WAS,0.2562829678607336,1.59,2.42,0,2026-04-05,,
CHI,PHX,,,,0,2026-04-05,,
MIL,MEM,0.41074676853729924,1.41,3.0,0,2026-04-05,,
CLE,IND,0.6706071439714927,1.07,9.5,0,2026-04-05,,
MIN,CHO,0.5869296060376008,2.05,1.8,0,2026-04-05,,
NOP,ORL,0.42788038455191135,2.64,1.51,0,2026-04-05,,
OKC,UTA,0.7729825466172888,1.02,19.0,0,2026-04-05,,
DAL,LAL,0.5629475201914665,2.02,1.82,0,2026-04-05,,
SAC,LAC,0.3972288153173424,7.0,1.11,0,2026-04-05,,
GSW,HOU,0.2958312717220517,2.36,1.62,0,2026-04-05,,
