,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DET,20,10,9,0.9
OKC,20,9,8,0.89
LAL,20,7,6,0.86
HOU,20,7,6,0.86
MIN,20,11,9,0.82
NYK,20,11,9,0.82
BOS,20,10,8,0.8
SAS,20,9,7,0.78
PHO,17,9,7,0.78
ORL,20,12,9,0.75
MIA,20,12,8,0.67
TOR,20,11,6,0.55
DAL,20,11,6,0.55
PHI,20,13,7,0.54
ATL,20,8,4,0.5
GSW,20,8,4,0.5
DEN,20,10,5,0.5
CLE,20,13,6,0.46
MEM,20,9,4,0.44
CHO,20,9,4,0.44
MIL,20,12,5,0.42
IND,20,10,4,0.4
UTA,20,13,5,0.38
POR,20,6,2,0.33
NOP,20,14,4,0.29
BRK,20,11,3,0.27
CHI,20,8,2,0.25
WAS,20,8,2,0.25
LAC,20,7,1,0.14
SAC,20,9,1,0.11
