,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
HOU,20,8,7,0.88
MIN,20,11,9,0.82
OKC,20,11,9,0.82
PHO,17,9,7,0.78
BOS,20,9,7,0.78
NYK,20,9,7,0.78
SAS,20,8,6,0.75
DET,20,7,5,0.71
DAL,20,9,6,0.67
ORL,20,9,6,0.67
LAL,20,9,6,0.67
LAC,20,8,5,0.62
MIA,20,10,6,0.6
TOR,20,13,7,0.54
WAS,20,10,5,0.5
MEM,20,8,4,0.5
DEN,20,8,4,0.5
CLE,20,12,6,0.5
PHI,20,11,5,0.45
GSW,20,9,4,0.44
CHO,20,9,4,0.44
POR,20,9,4,0.44
CHI,20,12,5,0.42
MIL,20,10,4,0.4
NOP,20,13,5,0.38
ATL,20,11,4,0.36
BRK,20,11,4,0.36
SAC,20,9,3,0.33
UTA,20,12,4,0.33
IND,20,12,3,0.25
