,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
PHO,20,7,6,0.86
SAS,20,9,7,0.78
LAC,20,7,5,0.71
DET,20,13,9,0.69
POR,20,13,9,0.69
BOS,20,12,8,0.67
NYK,20,9,6,0.67
CLE,20,9,6,0.67
MIN,20,11,7,0.64
ORL,20,11,7,0.64
CHI,20,8,5,0.62
LAL,20,10,6,0.6
HOU,20,12,7,0.58
GSW,20,14,8,0.57
MIL,20,7,4,0.57
IND,20,9,5,0.56
TOR,20,11,6,0.55
PHI,20,11,6,0.55
OKC,20,11,6,0.55
CHO,20,10,5,0.5
MEM,20,11,5,0.45
WAS,20,11,5,0.45
DEN,20,11,5,0.45
BRK,20,9,4,0.44
DAL,20,12,5,0.42
NOP,20,8,3,0.38
MIA,20,8,3,0.38
ATL,20,8,3,0.38
SAC,20,11,4,0.36
UTA,20,9,2,0.22
