,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
NYK,20,11,10,0.91
OKC,20,10,9,0.9
DET,20,10,9,0.9
HOU,20,8,7,0.88
LAL,20,7,6,0.86
MIN,20,10,8,0.8
PHO,17,9,7,0.78
SAS,20,9,7,0.78
ORL,20,12,9,0.75
MIA,20,12,8,0.67
BOS,20,11,7,0.64
DEN,20,10,6,0.6
TOR,20,10,6,0.6
DAL,20,11,6,0.55
PHI,20,12,6,0.5
ATL,20,8,4,0.5
CLE,20,12,6,0.5
GSW,20,8,4,0.5
CHO,20,10,5,0.5
MEM,20,9,4,0.44
POR,20,7,3,0.43
MIL,20,12,5,0.42
UTA,20,12,5,0.42
IND,20,11,4,0.36
CHI,20,9,3,0.33
BRK,20,11,3,0.27
NOP,20,13,3,0.23
WAS,20,9,2,0.22
SAC,20,9,2,0.22
LAC,20,7,0,0.0
