home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
DET,CLE,0.6994904871583444,1.62,2.36,0,2026-05-07,,
OKC,LAL,0.7269045161237182,1.11,7.0,0,2026-05-07,,
