,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,19,9,9,1.0
NYK,18,10,9,0.9
MIA,20,11,9,0.82
SAS,17,10,8,0.8
DET,20,10,8,0.8
GSW,20,9,7,0.78
TOR,20,9,7,0.78
PHO,17,9,7,0.78
CHI,19,8,6,0.75
LAL,18,8,6,0.75
CLE,20,11,8,0.73
HOU,15,7,5,0.71
ORL,20,10,7,0.7
MIN,19,9,6,0.67
DEN,18,9,6,0.67
BOS,19,10,6,0.6
ATL,20,8,4,0.5
UTA,18,10,5,0.5
CHO,19,10,5,0.5
PHI,18,10,5,0.5
MIL,20,11,5,0.45
IND,20,10,4,0.4
MEM,20,10,4,0.4
POR,19,8,3,0.38
SAC,20,9,3,0.33
DAL,20,12,4,0.33
LAC,19,10,3,0.3
NOP,20,11,2,0.18
WAS,18,7,1,0.14
BRK,19,9,0,0.0
