home_team,away_team,home_team_prob,odds 1,odds 2,result,date
IND,CHO,0.3345832966953802,6.5,1.12,0,2026-02-26
PHI,MIA,0.586889061119219,1.68,2.24,0,2026-02-26
ATL,WAS,0.5838203275887801,1.18,5.1,0,2026-02-26
BRK,SAS,0.3971685740349428,5.9,1.15,0,2026-02-26
ORL,HOU,0.49202551212803725,2.24,1.68,0,2026-02-26
CHI,POR,0.3053751505318968,2.5,1.56,0,2026-02-26
DAL,SAC,0.4677793711981593,1.37,3.2,0,2026-02-26
PHX,LAL,,,,0,2026-02-26
UTA,NOP,0.4744028601328439,2.6,1.52,0,2026-02-26
LAC,MIN,0.5754480865139868,2.8,1.46,0,2026-02-26
