,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,20,9,9,1.0
NYK,19,11,10,0.91
MIA,20,12,10,0.83
DET,20,11,9,0.82
SAS,18,10,8,0.8
PHO,17,9,7,0.78
LAL,19,9,7,0.78
TOR,20,9,7,0.78
GSW,20,9,7,0.78
CHI,20,8,6,0.75
HOU,17,7,5,0.71
ORL,20,10,7,0.7
MIN,20,10,7,0.7
CLE,20,12,8,0.67
BOS,20,10,6,0.6
DEN,19,10,6,0.6
ATL,20,7,4,0.57
UTA,20,12,6,0.5
CHO,20,10,5,0.5
MIL,20,11,5,0.45
PHI,19,11,5,0.45
IND,20,10,4,0.4
DAL,20,11,4,0.36
POR,20,9,3,0.33
MEM,20,9,3,0.33
LAC,20,10,3,0.3
SAC,20,10,3,0.3
WAS,19,8,2,0.25
NOP,20,11,2,0.18
BRK,20,10,1,0.1
