home_team,away_team,home_team_prob,odds 1,odds 2,result,date
IND,PHI,0.359178375967842,4.5,1.22,0,2026-02-24
ATL,WAS,0.5139355958114352,1.13,6.25,0,2026-02-24
BRK,DAL,0.3057210432162362,2.1,1.77,0,2026-02-24
CLE,NYK,0.6255830103103637,1.59,2.42,0,2026-02-24
TOR,OKC,0.5853295095097145,1.85,1.98,0,2026-02-24
CHI,CHO,0.2458631967211901,3.7,1.29,0,2026-02-24
MIL,MIA,0.5384495920959573,3.05,1.4,0,2026-02-24
NOP,GSW,0.5096908040870157,2.05,1.8,0,2026-02-24
PHX,BOS,,,,0,2026-02-24
POR,MIN,0.8471980325251627,3.15,1.38,0,2026-02-24
LAL,ORL,0.4567831770827029,1.49,2.7,0,2026-02-24
