,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,20,8,7,0.88
PHO,20,7,6,0.86
CLE,20,7,6,0.86
NYK,20,9,7,0.78
BOS,20,12,9,0.75
DET,20,11,8,0.73
LAL,20,11,7,0.64
PHI,20,11,7,0.64
CHO,20,11,7,0.64
ORL,20,13,8,0.62
MIN,20,12,7,0.58
NOP,20,7,4,0.57
POR,20,9,5,0.56
MIA,20,9,5,0.56
OKC,20,9,5,0.56
ATL,20,11,6,0.55
HOU,20,11,6,0.55
GSW,20,12,6,0.5
LAC,20,8,4,0.5
MIL,20,11,5,0.45
DEN,20,11,5,0.45
CHI,20,12,4,0.33
WAS,20,13,4,0.31
TOR,20,10,3,0.3
IND,20,8,2,0.25
BRK,20,8,2,0.25
MEM,20,9,2,0.22
DAL,20,10,2,0.2
UTA,20,11,2,0.18
SAC,20,7,0,0.0
