,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,17,7,7,1.0
DET,15,9,8,0.89
NYK,14,9,8,0.89
MIA,16,8,7,0.88
DEN,15,7,6,0.86
GSW,18,6,5,0.83
SAS,15,10,8,0.8
PHO,16,9,7,0.78
CHI,15,7,5,0.71
HOU,14,7,5,0.71
CLE,17,10,7,0.7
ORL,16,9,6,0.67
LAL,15,6,4,0.67
TOR,16,6,4,0.67
MIN,16,8,5,0.62
PHI,15,8,5,0.62
MIL,16,9,5,0.56
BOS,16,8,4,0.5
UTA,15,8,4,0.5
MEM,16,9,4,0.44
CHO,15,7,3,0.43
POR,16,7,3,0.43
LAC,15,8,3,0.38
ATL,16,6,2,0.33
DAL,17,12,4,0.33
IND,16,7,2,0.29
SAC,16,7,2,0.29
NOP,16,8,1,0.12
BRK,15,7,0,0.0
WAS,15,6,0,0.0
