home_team,away_team,home_team_prob,odds 1,odds 2,result,date
CHO,CLE,0.5922386099019221,2.85,1.44,0,2026-02-20
MEM,UTA,0.40276724447945245,1.77,2.1,0,2026-02-20
WAS,IND,0.32450011244091354,1.89,1.93,0,2026-02-20
ATL,MIA,0.49990598665363106,2.4,1.6,0,2026-02-20
MIN,DAL,0.7041472533347187,1.14,6.0,0,2026-02-20
NOP,MIL,0.5506176402941556,1.57,2.45,0,2026-02-20
OKC,BRK,0.6614586355724591,1.06,10.0,0,2026-02-20
LAL,LAC,0.5167006246892566,1.34,3.4,0,2026-02-20
POR,DEN,0.39186190730567366,2.02,1.82,0,2026-02-20
