home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
DET,ATL,0.650585195601794,1.62,2.36,0,2026-03-25,,
IND,LAL,0.30082952645169647,5.4,1.17,0,2026-03-25,,
PHI,CHI,0.41906836302702244,1.41,3.0,0,2026-03-25,,
BOS,OKC,0.6264718179693419,2.14,1.74,0,2026-03-25,,
CLE,MIA,0.692235360889122,1.68,2.24,0,2026-03-25,,
MEM,SAS,0.1582950106035474,10.0,1.06,0,2026-03-25,,
UTA,WAS,0.45778491989986325,1.56,2.5,0,2026-03-25,,
MIN,HOU,0.5546985857001789,2.05,1.8,0,2026-03-25,,
DEN,DAL,0.6303884765297905,1.14,6.0,0,2026-03-25,,
GSW,BRK,0.47347568888904584,1.16,5.55,0,2026-03-25,,
POR,MIL,0.7327654209720071,1.14,6.0,0,2026-03-25,,
LAC,TOR,0.5952981344118482,1.54,2.54,0,2026-03-25,,
