home_team,away_team,home_team_prob,result,odds 1,odds 2,date
UTA,PHO,0.7382724914208055,0,1.85,1.98,2025-10-27
GSW,MEM,0.7016697808957946,0,1.29,3.7,2025-10-27
NOP,BOS,0.3894205400112052,0,2.02,1.82,2025-10-27
HOU,BRK,0.47811069043652,0,1.07,9.0,2025-10-27
CHI,ATL,0.6711667352744255,0,2.14,1.74,2025-10-27
PHI,ORL,0.7196864180892053,0,2.95,1.42,2025-10-27
SAS,TOR,0.6724227245217166,0,1.51,2.64,2025-10-27
LAL,POR,0.6926135374353957,0,2.2,1.7,2025-10-27
MIN,DEN,0.5569620039771932,0,3.0,1.41,2025-10-27
DET,CLE,0.4466788154998884,0,2.14,1.74,2025-10-27
DAL,OKC,0.2793557260450717,0,3.95,1.27,2025-10-27
