home_team,away_team,home_team_prob,odds 1,odds 2,result,date
CHO,DET,0.6654623966572385,2.24,1.68,0,2026-02-09
BRK,CHI,0.4285262607928319,2.45,1.57,0,2026-02-09
MIA,UTA,0.7057925457545541,1.35,3.3,0,2026-02-09
ORL,MIL,0.3933342337194163,1.2,4.8,0,2026-02-09
MIN,ATL,0.5950063493387269,1.4,3.05,0,2026-02-09
NOP,SAC,0.5205870497597209,1.31,3.6,0,2026-02-09
DEN,CLE,0.5753255173681295,1.89,1.93,0,2026-02-09
GSW,MEM,0.49613156052518065,1.25,4.1,0,2026-02-09
LAL,OKC,0.6286714016013034,3.1,1.39,0,2026-02-09
POR,PHI,0.44864498033577604,2.3,1.65,0,2026-02-09
