date,home_team,away_team,home_win_rate,prob_iso,odds_1,stake_eur,actual_winner,won,payout_eur,net_profit_eur
2025-10-29,UTA,POR,0.67,0.6,2.24,20.0,POR,0.0,0.0,-20.0
2025-10-29,CHI,SAC,0.67,0.6666666666666666,1.51,20.0,CHI,1.0,30.2,10.2
2025-10-30,SAS,MIA,0.67,0.7142857142857143,1.43,20.0,0,0.0,0.0,-20.0
2025-10-30,MIL,GSW,0.67,0.5263157894736842,2.3,20.0,0,0.0,0.0,-20.0
