,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DET,20,10,9,0.9
OKC,20,9,8,0.89
HOU,20,8,7,0.88
LAL,20,7,6,0.86
MIN,20,11,9,0.82
NYK,20,11,9,0.82
SAS,20,9,7,0.78
PHO,17,9,7,0.78
ORL,20,12,9,0.75
BOS,20,11,8,0.73
MIA,20,12,8,0.67
TOR,20,10,6,0.6
DEN,20,10,6,0.6
DAL,20,11,6,0.55
GSW,20,8,4,0.5
CHO,20,10,5,0.5
ATL,20,8,4,0.5
PHI,20,12,6,0.5
CLE,20,13,6,0.46
MEM,20,9,4,0.44
POR,20,7,3,0.43
UTA,20,12,5,0.42
MIL,20,12,5,0.42
IND,20,11,4,0.36
BRK,20,11,3,0.27
CHI,20,8,2,0.25
NOP,20,13,3,0.23
WAS,20,9,2,0.22
SAC,20,9,2,0.22
LAC,20,7,0,0.0
