,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
TOR,20,9,8,0.89
DEN,20,13,11,0.85
NYK,20,11,9,0.82
ORL,20,8,6,0.75
CHO,20,11,8,0.73
HOU,20,11,8,0.73
CLE,20,10,7,0.7
OKC,20,10,7,0.7
POR,20,9,6,0.67
ATL,20,9,6,0.67
NOP,20,9,6,0.67
LAL,20,11,7,0.64
MIN,20,8,5,0.62
DET,20,10,6,0.6
MIA,20,10,6,0.6
BOS,20,12,7,0.58
SAC,20,12,6,0.5
LAC,20,13,6,0.46
SAS,20,12,5,0.42
PHO,20,10,4,0.4
MIL,20,10,4,0.4
PHI,20,10,4,0.4
GSW,20,8,3,0.38
BRK,20,11,4,0.36
UTA,20,9,3,0.33
CHI,20,7,2,0.29
DAL,20,8,2,0.25
MEM,20,10,2,0.2
IND,20,9,1,0.11
WAS,20,8,0,0.0
