,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,20,9,8,0.89
PHO,20,7,6,0.86
DET,20,13,9,0.69
POR,20,13,9,0.69
NYK,20,9,6,0.67
GSW,20,14,9,0.64
OKC,20,11,7,0.64
ORL,20,11,7,0.64
BOS,20,11,7,0.64
CLE,20,8,5,0.62
HOU,20,13,8,0.62
LAL,20,10,6,0.6
PHI,20,10,6,0.6
LAC,20,7,4,0.57
CHO,20,9,5,0.56
IND,20,9,5,0.56
MIN,20,11,6,0.55
CHI,20,10,5,0.5
TOR,20,10,5,0.5
NOP,20,8,4,0.5
DEN,20,11,5,0.45
DAL,20,11,5,0.45
ATL,20,9,4,0.44
MIA,20,9,4,0.44
MIL,20,7,3,0.43
SAC,20,10,4,0.4
BRK,20,8,3,0.38
WAS,20,11,4,0.36
MEM,20,11,4,0.36
UTA,20,8,2,0.25
