home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
WAS,OKC,0.20129022387748116,14.0,1.04,0,2026-03-21,,
CHO,MEM,0.6864632992412801,1.06,10.0,0,2026-03-21,,
NOP,CLE,0.6445638855063307,2.64,1.51,0,2026-03-21,,
ORL,LAL,0.5762139809596395,2.3,1.65,0,2026-03-21,,
ATL,GSW,0.7263642973326722,1.22,4.5,0,2026-03-21,,
HOU,MIA,0.5103590676992604,1.7,2.2,0,2026-03-21,,
SAS,IND,0.6898403232763448,1.05,12.0,0,2026-03-21,,
DAL,LAC,0.34226790550188335,3.25,1.36,0,2026-03-21,,
UTA,PHI,0.4754290307458849,2.95,1.42,0,2026-03-21,,
PHX,MIL,,,,0,2026-03-21,,
