,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DAL,20,7,6,0.86
HOU,20,5,4,0.8
PHO,18,10,8,0.8
DET,20,9,7,0.78
BOS,20,9,7,0.78
MIN,20,11,8,0.73
OKC,20,13,9,0.69
NYK,20,9,6,0.67
POR,20,11,7,0.64
LAL,20,11,7,0.64
SAS,20,8,5,0.62
LAC,20,10,6,0.6
GSW,20,12,7,0.58
MIL,20,7,4,0.57
PHI,20,9,5,0.56
WAS,20,12,6,0.5
MIA,20,8,4,0.5
DEN,20,8,4,0.5
ORL,20,10,5,0.5
UTA,20,11,5,0.45
CLE,20,11,5,0.45
MEM,20,9,4,0.44
TOR,20,12,5,0.42
CHO,20,10,4,0.4
NOP,20,10,4,0.4
BRK,20,13,5,0.38
CHI,20,12,4,0.33
ATL,20,10,3,0.3
IND,20,12,3,0.25
SAC,20,11,2,0.18
