home_team,away_team,home_team_prob,odds 1,odds 2,result,date
IND,DET,0.2263200584414887,4.5,1.22,0,2025-11-24
TOR,CLE,0.6489315499267384,2.2,1.7,0,2025-11-24
BRK,NYK,0.4214587282028742,7.0,1.11,0,2025-11-24
MIA,DAL,0.5867676075445686,1.32,3.5,0,2025-11-24
MEM,DEN,0.5161739201990017,3.7,1.29,0,2025-11-24
MIL,POR,0.5243918459666201,1.82,2.02,0,2025-11-24
NOP,CHI,0.32785831109494845,2.8,1.46,0,2025-11-24
PHX,HOU,,,,0,2025-11-24
GSW,UTA,0.5351585256842541,1.11,7.25,0,2025-11-24
SAC,MIN,0.1602680729250108,4.1,1.25,0,2025-11-24
