,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,19,9,9,1.0
MIA,19,10,9,0.9
NYK,17,9,8,0.89
DET,18,9,8,0.89
SAS,17,10,8,0.8
TOR,19,9,7,0.78
GSW,20,8,6,0.75
CHI,17,8,6,0.75
DEN,17,8,6,0.75
PHO,19,11,8,0.73
CLE,19,11,8,0.73
LAL,17,7,5,0.71
HOU,16,7,5,0.71
ORL,19,10,7,0.7
MIN,18,8,5,0.62
BOS,18,10,6,0.6
PHI,17,10,5,0.5
MIL,19,11,5,0.45
UTA,17,9,4,0.44
ATL,19,7,3,0.43
MEM,19,10,4,0.4
LAC,18,8,3,0.38
POR,19,8,3,0.38
SAC,19,9,3,0.33
CHO,18,9,3,0.33
DAL,19,13,4,0.31
IND,18,8,2,0.25
NOP,19,11,2,0.18
WAS,17,7,1,0.14
BRK,17,8,0,0.0
