date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,stake_flat,potential_profit_if_win,won,pnl_flat,cum_profit_flat,bankroll_flat,bankroll_after_flat
2025-12-01,LAL,PHO,0.8,0.7631578947368421,0.75,1.51,13.25,100.0,51.0,,,,,
2025-12-02 00:00:00,BOS,NYK,0.6,0.7272727272727273,0.7272727272727273,1.89,37.45454545454545,100.0,89.0,,,,,
2025-12-02 00:00:00,TOR,POR,0.78,0.7058823529411765,0.7058823529411765,1.46,3.0588235294117694,100.0,46.0,,,,,
2025-12-03 00:00:00,ATL,LAC,0.71,0.6585365853658537,0.6585365853658537,1.62,6.682926829268304,100.0,62.0,,,,,
2025-12-04 00:00:00,TOR,LAL,0.89,0.7058823529411765,0.7058823529411765,1.7,20.000000000000007,100.0,70.0,,,,,
2025-12-05 00:00:00,CLE,SAS,0.58,0.7307692307692307,0.7307692307692307,1.6,16.923076923076923,100.0,60.0,,,,,
2025-12-05 00:00:00,ORL,MIA,0.78,0.7307692307692307,0.7307692307692307,1.46,6.692307692307681,100.0,46.0,,,,,
2025-12-07 00:00:00,NYK,ORL,0.92,0.8571428571428571,0.75,1.62,21.500000000000007,100.0,62.0,,,,,
2025-12-09 00:00:00,ORL,MIA,0.8,0.75,0.75,1.89,41.75,100.0,89.0,,,,,
2025-12-13 00:00:00,ORL,NYK,0.82,0.5,0.5,2.64,32.00000000000001,100.0,164.0,,,,,
2025-12-15 00:00:00,BOS,DET,0.7,0.6730769230769231,0.6730769230769231,1.82,22.500000000000007,100.0,82.0,,,,,
2025-12-19 00:00:00,NYK,PHI,0.91,0.7222222222222222,0.7222222222222222,1.54,11.22222222222222,100.0,54.0,,,,,
2025-12-19 00:00:00,NYK,PHI,0.91,0.7222222222222222,0.7222222222222222,1.54,11.22222222222222,100.0,54.0,,,,,
2025-12-20 00:00:00,PHI,DAL,0.5,0.6923076923076923,0.6923076923076923,1.65,14.23076923076922,100.0,65.0,,,,,
2025-12-25 00:00:00,LAL,HOU,0.62,0.4495412844036697,0.5,2.1,12.00000000000001,100.0,124.0,,,,,
2025-12-27 00:00:00,ORL,DEN,0.7,0.4513274336283185,0.4513274336283185,2.6,17.345132743362836,100.0,160.0,,,,,
2025-12-27 00:00:00,HOU,CLE,0.86,0.6883116883116883,0.6883116883116883,1.57,8.064935064935069,100.0,57.0,,,,,
