,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,20,9,9,1.0
NYK,20,11,10,0.91
LAL,20,8,7,0.88
MIA,20,11,9,0.82
SAS,20,11,9,0.82
DET,20,11,9,0.82
ORL,20,10,8,0.8
PHO,17,9,7,0.78
HOU,18,8,6,0.75
BOS,20,11,8,0.73
TOR,20,11,8,0.73
MIN,20,10,7,0.7
GSW,20,9,6,0.67
CLE,20,13,8,0.62
DEN,20,10,6,0.6
CHI,20,9,5,0.56
ATL,20,8,4,0.5
PHI,20,12,6,0.5
UTA,20,11,5,0.45
CHO,20,9,4,0.44
MIL,20,12,5,0.42
DAL,20,10,4,0.4
MEM,20,8,3,0.38
IND,20,11,4,0.36
POR,20,7,2,0.29
SAC,20,9,2,0.22
WAS,20,9,2,0.22
LAC,20,9,2,0.22
NOP,20,11,2,0.18
BRK,20,10,1,0.1
