,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,20,10,10,1.0
NYK,19,11,10,0.91
MIA,19,10,9,0.9
SAS,19,10,8,0.8
LAL,19,9,7,0.78
TOR,19,9,7,0.78
GSW,20,8,6,0.75
CHI,19,8,6,0.75
CLE,20,11,8,0.73
DET,20,11,8,0.73
HOU,16,7,5,0.71
PHO,20,10,7,0.7
ORL,20,9,6,0.67
ATL,20,8,5,0.62
MIN,18,8,5,0.62
DEN,19,10,6,0.6
BOS,18,10,6,0.6
UTA,19,11,6,0.55
PHI,19,10,5,0.5
CHO,20,11,5,0.45
MIL,20,10,4,0.4
IND,20,10,4,0.4
POR,19,8,3,0.38
MEM,20,9,3,0.33
SAC,20,9,3,0.33
DAL,20,12,4,0.33
LAC,20,10,3,0.3
NOP,19,11,2,0.18
WAS,19,7,1,0.14
BRK,19,10,0,0.0
