,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,20,8,7,0.88
PHO,20,7,6,0.86
CLE,20,8,6,0.75
DET,20,14,10,0.71
BOS,20,10,7,0.7
HOU,20,12,8,0.67
NYK,20,9,6,0.67
CHO,20,9,6,0.67
OKC,20,10,6,0.6
PHI,20,10,6,0.6
NOP,20,9,5,0.56
POR,20,11,6,0.55
ORL,20,11,6,0.55
GSW,20,13,7,0.54
LAL,20,10,5,0.5
MIL,20,10,5,0.5
DEN,20,10,5,0.5
MIN,20,10,5,0.5
ATL,20,10,5,0.5
LAC,20,8,4,0.5
MIA,20,9,4,0.44
IND,20,10,4,0.4
MEM,20,10,4,0.4
BRK,20,8,3,0.38
TOR,20,11,4,0.36
CHI,20,11,4,0.36
WAS,20,11,4,0.36
DAL,20,12,4,0.33
SAC,20,8,2,0.25
UTA,20,10,2,0.2
