,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
HOU,20,7,6,0.86
PHO,20,7,6,0.86
LAC,20,10,8,0.8
DET,20,10,8,0.8
DAL,20,9,7,0.78
DEN,20,8,6,0.75
GSW,20,12,9,0.75
MIN,20,11,8,0.73
OKC,20,13,9,0.69
BOS,20,9,6,0.67
POR,20,12,8,0.67
NYK,20,8,5,0.62
SAS,20,8,5,0.62
ORL,20,10,6,0.6
PHI,20,9,5,0.56
CLE,20,11,6,0.55
MEM,20,10,5,0.5
CHI,20,13,6,0.46
BRK,20,11,5,0.45
SAC,20,11,5,0.45
MIA,20,9,4,0.44
MIL,20,7,3,0.43
TOR,20,12,5,0.42
NOP,20,12,5,0.42
LAL,20,10,4,0.4
WAS,20,11,4,0.36
ATL,20,9,3,0.33
UTA,20,9,3,0.33
CHO,20,8,2,0.25
IND,20,12,3,0.25
