home_team,away_team,home_team_prob,odds 1,odds 2,result,date
ATL,CLE,0.6271137000010872,2.5,1.56,0,2025-11-28
BRK,PHI,0.5897279001450451,3.2,1.37,0,2025-11-28
CHO,CHI,0.40085304434204827,2.3,1.65,0,2025-11-28
DET,ORL,0.4980259757464288,1.56,2.5,0,2025-11-28
IND,WAS,0.27989668965028924,1.38,3.15,0,2025-11-28
NYK,MIL,0.6854273493015948,1.34,3.4,0,2025-11-28
DEN,SAS,0.6250616535602674,1.24,4.2,0,2025-11-28
OKC,PHX,,,,0,2025-11-28
UTA,SAC,0.6388483639078939,1.87,1.95,0,2025-11-28
LAC,MEM,0.3279919967612393,1.38,3.15,0,2025-11-28
LAL,DAL,0.6496787068863075,1.19,5.0,0,2025-11-28
