,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
HOU,20,8,7,0.88
PHO,20,7,6,0.86
LAC,20,12,10,0.83
GSW,20,14,11,0.79
CHI,20,12,9,0.75
DET,20,11,8,0.73
DAL,20,10,7,0.7
MIN,20,9,6,0.67
POR,20,14,9,0.64
MIA,20,8,5,0.62
DEN,20,8,5,0.62
BOS,20,8,5,0.62
SAS,20,10,6,0.6
CLE,20,10,6,0.6
OKC,20,12,7,0.58
TOR,20,9,5,0.56
NYK,20,10,5,0.5
PHI,20,10,5,0.5
ORL,20,10,5,0.5
LAL,20,10,5,0.5
SAC,20,14,6,0.43
MEM,20,12,5,0.42
BRK,20,10,4,0.4
WAS,20,10,4,0.4
CHO,20,8,3,0.38
UTA,20,9,3,0.33
NOP,20,10,3,0.3
ATL,20,10,3,0.3
IND,20,10,3,0.3
MIL,20,7,2,0.29
