home_team,away_team,home_team_prob,odds 1,odds 2,result,date
CHO,ATL,0.5253918642945512,2.7,1.49,0,2025-12-18
IND,NYK,0.5416365660232396,2.7,1.49,0,2025-12-18
BRK,MIA,0.6369200759542023,3.2,1.37,0,2025-12-18
MIL,TOR,0.4526596108275465,2.7,1.49,0,2025-12-18
NOP,HOU,0.5036671697307652,4.2,1.24,0,2025-12-18
OKC,LAC,0.7936654841172854,1.06,10.5,0,2025-12-18
SAS,WAS,0.4782116630619275,1.09,8.0,0,2025-12-18
DAL,DET,0.6069865161362319,3.3,1.35,0,2025-12-18
DEN,ORL,0.6498712880314608,1.37,3.2,0,2025-12-18
PHX,GSW,,,,0,2025-12-18
UTA,LAL,0.3945711869236711,4.1,1.25,0,2025-12-18
POR,SAC,0.5114417188736026,1.28,3.8,0,2025-12-18
