home_team,away_team,home_team_prob,odds 1,odds 2,result,date
CHO,WAS,0.49623534264033503,1.41,3.0,0,2025-12-23
PHI,BRK,0.5966723449676121,1.24,4.3,0,2025-12-23
ATL,CHI,0.4283581406001986,1.62,2.36,0,2025-12-23
CLE,NOP,0.42388673764026197,1.28,3.85,0,2025-12-23
IND,MIL,0.461432273332026,2.0,1.83,0,2025-12-23
MIA,TOR,0.49495747046074484,1.49,2.7,0,2025-12-23
DAL,DEN,0.44719293315464953,3.05,1.4,0,2025-12-23
MIN,NYK,0.6380602651331261,1.36,3.25,0,2025-12-23
SAS,OKC,0.5949528009088785,2.85,1.44,0,2025-12-23
PHX,LAL,,,,0,2025-12-23
UTA,MEM,0.6882347675257227,2.36,1.62,0,2025-12-23
POR,ORL,0.612844743864183,2.05,1.8,0,2025-12-23
SAC,DET,0.3792219899327096,4.0,1.26,0,2025-12-23
LAC,HOU,0.5678765192171271,3.5,1.32,0,2025-12-23
