home_team,away_team,home_team_prob,odds 1,odds 2,result,date
NYK,SAS,0.6443027972556149,1.98,1.85,0,2026-03-01
BRK,CLE,0.3709503739254445,5.4,1.17,0,2026-03-01
CHI,MIL,0.404963949956704,2.3,1.65,0,2026-03-01
DEN,MIN,0.6634374149122526,1.65,2.3,0,2026-03-01
IND,MEM,0.27519560251703057,1.85,1.98,0,2026-03-01
ATL,POR,0.6147674767849569,1.51,2.64,0,2026-03-01
ORL,DET,0.5723095105689341,2.7,1.49,0,2026-03-01
BOS,PHI,0.7392681811050373,1.28,3.85,0,2026-03-01
DAL,OKC,0.3360984996824493,7.75,1.1,0,2026-03-01
LAC,NOP,0.5074920873060754,1.28,3.85,0,2026-03-01
LAL,SAC,0.5319302629081952,1.14,6.0,0,2026-03-01
