home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
DET,LAL,0.7140238608504601,2.1,1.77,0,2026-03-23,,
MIA,SAS,0.493005632314098,2.7,1.49,0,2026-03-23,,
ORL,IND,0.6706308222226741,1.12,6.5,0,2026-03-23,,
PHI,OKC,0.4125434589652079,8.5,1.08,0,2026-03-23,,
ATL,MEM,0.7342705322660276,1.11,7.0,0,2026-03-23,,
CHI,HOU,0.4330856611410158,3.8,1.28,0,2026-03-23,,
UTA,TOR,0.5407295000347156,6.5,1.12,0,2026-03-23,,
DAL,GSW,0.29774129766275453,2.1,1.77,0,2026-03-23,,
POR,BRK,0.6465384351760083,1.11,7.25,0,2026-03-23,,
LAC,MIL,0.5754372524522701,1.12,6.75,0,2026-03-23,,
