,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DEN,20,13,12,0.92
ATL,20,11,10,0.91
OKC,20,10,9,0.9
DET,20,9,8,0.89
PHO,20,7,6,0.86
BOS,20,11,9,0.82
LAL,20,11,9,0.82
POR,20,10,8,0.8
TOR,20,9,7,0.78
NYK,20,8,6,0.75
PHI,20,8,6,0.75
SAS,20,12,9,0.75
HOU,20,12,9,0.75
CLE,20,9,6,0.67
NOP,20,9,6,0.67
MIA,20,11,7,0.64
CHO,20,11,7,0.64
ORL,20,10,6,0.6
LAC,20,12,7,0.58
SAC,20,11,6,0.55
MIL,20,10,5,0.5
MIN,20,9,4,0.44
BRK,20,11,4,0.36
UTA,20,9,3,0.33
GSW,20,9,3,0.33
CHI,20,8,2,0.25
DAL,20,8,2,0.25
MEM,20,10,2,0.2
IND,20,8,1,0.12
WAS,20,8,0,0.0
PHX,10,4,0,0.0
