home_team,away_team,home_team_prob,result,odds 1,odds 2,date
ATL,TOR,0.4334399019009193,0,1.74,2.14,2025-11-07
ORL,BOS,0.26470846427257017,0,1.65,2.3,2025-11-07
MIL,CHI,0.5639088915930152,0,1.56,2.5,2025-11-07
MIN,UTA,0.49076824291068855,0,1.15,5.9,2025-11-07
DEN,GSW,0.5305268709574026,0,1.22,4.5,2025-11-07
MIA,CHO,0.6874726361868663,0,1.44,2.85,2025-11-07
SAC,OKC,0.4414846305122578,0,5.0,1.19,2025-11-07
MEM,DAL,0.6474366161211352,0,1.56,2.5,2025-11-07
SAS,HOU,0.5731846849928982,0,2.4,1.6,2025-11-07
WAS,CLE,0.3241518590371651,0,6.75,1.12,2025-11-07
BRK,DET,0.4575189407872355,0,4.7,1.21,2025-11-07
