,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,20,8,7,0.88
PHO,20,7,6,0.86
CLE,20,8,6,0.75
NYK,20,8,6,0.75
BOS,20,12,9,0.75
PHI,20,10,7,0.7
LAL,20,12,8,0.67
CHO,20,11,7,0.64
NOP,20,8,5,0.62
OKC,20,10,6,0.6
MIA,20,10,6,0.6
DET,20,10,6,0.6
ATL,20,12,7,0.58
POR,20,9,5,0.56
HOU,20,11,6,0.55
ORL,20,11,6,0.55
MIN,20,13,7,0.54
MIL,20,12,6,0.5
LAC,20,8,4,0.5
GSW,20,11,5,0.45
DEN,20,11,5,0.45
TOR,20,11,4,0.36
WAS,20,12,4,0.33
CHI,20,11,3,0.27
BRK,20,8,2,0.25
IND,20,8,2,0.25
MEM,20,9,2,0.22
SAC,20,7,1,0.14
DAL,20,9,1,0.11
UTA,20,10,1,0.1
