home_team,away_team,home_team_prob,odds_1,odds_2,result,date
GSW,LAC,0.5489562733263578,0,2.05,1.8,2025-10-28
MIA,CHO,0.6335698262948327,0,1.44,2.85,2025-10-28
MIL,NYK,0.6100791721032666,0,2.05,1.8,2025-10-28
OKC,SAC,0.6956613608047013,0,1.22,4.5,2025-10-28
