,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DET,20,10,9,0.9
OKC,20,9,8,0.89
LAL,20,7,6,0.86
HOU,20,7,6,0.86
MIN,20,12,10,0.83
NYK,20,11,9,0.82
BOS,20,10,8,0.8
PHO,17,9,7,0.78
SAS,20,9,7,0.78
ORL,20,11,8,0.73
MIA,20,11,7,0.64
TOR,20,11,6,0.55
DAL,20,11,6,0.55
PHI,20,13,7,0.54
GSW,20,8,4,0.5
MEM,20,8,4,0.5
DEN,20,10,5,0.5
CLE,20,13,6,0.46
CHO,20,9,4,0.44
IND,20,10,4,0.4
UTA,20,13,5,0.38
ATL,20,8,3,0.38
MIL,20,11,4,0.36
BRK,20,11,4,0.36
NOP,20,15,5,0.33
POR,20,7,2,0.29
CHI,20,8,2,0.25
SAC,20,9,2,0.22
WAS,20,9,2,0.22
LAC,20,7,1,0.14
